experiment_id,sequence_length,stride,feature_set,latent_dimension,lstm_units,batch_size,learning_rate,epochs,threshold_method,threshold,precision,recall,f1,selected_final,notes
exp_001,12,1,"temp,pressure,humidity(scaled)+hour_sin/cos+doy_sin/cos",32,"64,32,32,64",512,0.001,80,mean_plus_2std,0.05402,0.1396,0.0648,0.0885,True,WINNER - lowest val MSE AND best F1 on labeled faults among 3 candidates
exp_002,24,1,"temp,pressure,humidity(scaled)+hour_sin/cos+doy_sin/cos",32,"64,32,32,64",512,0.001,10,p95,0.48441,0.1494,0.0253,0.0433,False,"candidate, not selected"
exp_003,48,1,"temp,pressure,humidity(scaled)+hour_sin/cos+doy_sin/cos",32,"64,32,32,64",512,0.001,17,mean_plus_2std,0.39212,0.1368,0.0231,0.0395,False,"candidate, not selected"
exp_004,12,1,"temperature_c,pressure_hpa,humidity_pct (raw, unscaled)",N/A,"N/A (rolling z-score baseline, not a neural network)",N/A,N/A,N/A,"rolling z-score, max|z| across 3 features",2.0,0.1322,0.388,0.1972,False,STATISTICAL BASELINE -- outperforms all 3 LSTM candidates on overall F1; see baseline_comparison.json for matched-FPR analysis
