level,precision,recall,f1,false_positive_rate,confusion_matrix,n_events,detection_rate
overall,0.13964497041420118,0.06481142438667155,0.08853319994998124,0.057077804820601395,"{'tp': 354, 'fp': 2181, 'fn': 5108, 'tn': 36030}",,
spike,0.06112785191562634,0.6635514018691588,0.11194324004729996,,,214.0,0.6635514018691588
frozen,0.03109729009329187,0.05409582689335394,0.039492242595204514,,,1294.0,0.05409582689335394
dropout,0.0031992687385740404,0.035,0.005862646566164154,,,200.0,0.035
drift,0.05829015544041451,0.03596164091635589,0.044481054365733116,,,3754.0,0.03596164091635589
